"filename", "language", "XML", "Markdown", "JSON", "C#", "Properties", "comment", "blank", "total"
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\.vs\ProjectSettings.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\.vs\VSWorkspaceState.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\.vs\tasks.vs.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Abstract\IAuthServices.cs", "C#", 0, 0, 0, 6, 0, 0, 6, 12
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Abstract\ICursoServices.cs", "C#", 0, 0, 0, 10, 0, 0, 9, 19
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Abstract\IHorariosServices.cs", "C#", 0, 0, 0, 9, 0, 0, 7, 16
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Abstract\IMateriaServices.cs", "C#", 0, 0, 0, 8, 0, 0, 6, 14
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Abstract\IUbicationServices.cs", "C#", 0, 0, 0, 8, 0, 0, 10, 18
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Abstract\IUserServices.cs", "C#", 0, 0, 0, 9, 0, 0, 10, 19
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Business.csproj", "XML", 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Concrete\AuthManager.cs", "C#", 0, 0, 0, 31, 0, 0, 13, 44
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Concrete\CursoManager.cs", "C#", 0, 0, 0, 68, 0, 0, 27, 95
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Concrete\HorarioManager.cs", "C#", 0, 0, 0, 57, 0, 0, 17, 74
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Concrete\MateriaManager.cs", "C#", 0, 0, 0, 82, 0, 0, 19, 101
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Concrete\UbicationManager.cs", "C#", 0, 0, 0, 48, 0, 0, 16, 64
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Concrete\UserManager.cs", "C#", 0, 0, 0, 61, 0, 0, 23, 84
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\bin\Debug\net7.0\Business.deps.json", "JSON", 0, 0, 1342, 0, 0, 0, 0, 1342
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Business.csproj.nuget.dgspec.json", "JSON", 0, 0, 295, 0, 0, 0, 0, 295
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Business.csproj.nuget.g.props", "XML", 18, 0, 0, 0, 0, 0, 0, 18
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Business.csproj.nuget.g.targets", "XML", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Debug\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 3, 0, 1, 1, 5
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Debug\net7.0\Business.AssemblyInfo.cs", "C#", 0, 0, 0, 9, 0, 9, 5, 23
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Debug\net7.0\Business.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 11, 0, 1, 12
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Debug\net7.0\Business.GlobalUsings.g.cs", "C#", 0, 0, 0, 7, 0, 1, 1, 9
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Release\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 3, 0, 1, 1, 5
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Release\net7.0\Business.AssemblyInfo.cs", "C#", 0, 0, 0, 9, 0, 10, 5, 24
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Release\net7.0\Business.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 11, 0, 1, 12
