Date : 2023-11-01 21:42:55
Directory : c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo
Total : 164 files,  30584 codes, 151 comments, 773 blanks, all 31508 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         30 |     28,264 |          0 |          5 |     28,269 |
| C#         |         99 |      1,916 |        151 |        730 |      2,797 |
| XML        |         22 |        259 |          0 |         24 |        283 |
| Properties |         12 |        144 |          0 |         12 |        156 |
| Markdown   |          1 |          1 |          0 |          2 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |        164 |     30,584 |        151 |        773 |     31,508 |
| . (Files)                                                                                                                                               |          1 |          1 |          0 |          2 |          3 |
| .vs                                                                                                                                                     |          3 |         20 |          0 |          0 |         20 |
| Business                                                                                                                                                |         26 |      6,032 |         23 |        183 |      6,238 |
| Business (Files)                                                                                                                                        |          1 |         12 |          0 |          4 |         16 |
| Business\Abstract                                                                                                                                       |          6 |         50 |          0 |         48 |         98 |
| Business\Concrete                                                                                                                                       |          6 |        347 |          0 |        115 |        462 |
| Business\bin                                                                                                                                            |          1 |      1,342 |          0 |          0 |      1,342 |
| Business\bin\Debug                                                                                                                                      |          1 |      1,342 |          0 |          0 |      1,342 |
| Business\bin\Debug\net7.0                                                                                                                               |          1 |      1,342 |          0 |          0 |      1,342 |
| Business\obj                                                                                                                                            |         12 |      4,281 |         23 |         16 |      4,320 |
| Business\obj (Files)                                                                                                                                    |          4 |      4,221 |          0 |          0 |      4,221 |
| Business\obj\Debug                                                                                                                                      |          4 |         30 |         11 |          8 |         49 |
| Business\obj\Debug\net7.0                                                                                                                               |          4 |         30 |         11 |          8 |         49 |
| Business\obj\Release                                                                                                                                    |          4 |         30 |         12 |          8 |         50 |
| Business\obj\Release\net7.0                                                                                                                             |          4 |         30 |         12 |          8 |         50 |
| Core                                                                                                                                                    |         26 |      5,450 |         23 |         89 |      5,562 |
| Core (Files)                                                                                                                                            |          1 |         13 |          0 |          4 |         17 |
| Core\DataAccess                                                                                                                                         |          2 |         56 |          0 |         21 |         77 |
| Core\DataAccess (Files)                                                                                                                                 |          1 |         13 |          0 |          9 |         22 |
| Core\DataAccess\EntityFramework                                                                                                                         |          1 |         43 |          0 |         12 |         55 |
| Core\Entities                                                                                                                                           |          2 |          8 |          0 |          4 |         12 |
| Core\Utilities                                                                                                                                          |          8 |         65 |          0 |         44 |        109 |
| Core\Utilities\Results                                                                                                                                  |          8 |         65 |          0 |         44 |        109 |
| Core\bin                                                                                                                                                |          1 |      1,295 |          0 |          0 |      1,295 |
| Core\bin\Debug                                                                                                                                          |          1 |      1,295 |          0 |          0 |      1,295 |
| Core\bin\Debug\net7.0                                                                                                                                   |          1 |      1,295 |          0 |          0 |      1,295 |
| Core\obj                                                                                                                                                |         12 |      4,013 |         23 |         16 |      4,052 |
| Core\obj (Files)                                                                                                                                        |          4 |      3,953 |          0 |          0 |      3,953 |
| Core\obj\Debug                                                                                                                                          |          4 |         30 |         11 |          8 |         49 |
| Core\obj\Debug\net7.0                                                                                                                                   |          4 |         30 |         11 |          8 |         49 |
| Core\obj\Release                                                                                                                                        |          4 |         30 |         12 |          8 |         50 |
| Core\obj\Release\net7.0                                                                                                                                 |          4 |         30 |         12 |          8 |         50 |
| DataAccess                                                                                                                                              |         33 |      6,345 |         23 |        170 |      6,538 |
| DataAccess (Files)                                                                                                                                      |          1 |         20 |          0 |          4 |         24 |
| DataAccess\Abstract                                                                                                                                     |          8 |         40 |          0 |         21 |         61 |
| DataAccess\Concrete                                                                                                                                     |          9 |        436 |          0 |        128 |        564 |
| DataAccess\Concrete\EntityFramework                                                                                                                     |          9 |        436 |          0 |        128 |        564 |
| DataAccess\bin                                                                                                                                          |          2 |      1,428 |          0 |          0 |      1,428 |
| DataAccess\bin\Debug                                                                                                                                    |          2 |      1,428 |          0 |          0 |      1,428 |
| DataAccess\bin\Debug\net7.0                                                                                                                             |          2 |      1,428 |          0 |          0 |      1,428 |
| DataAccess\obj                                                                                                                                          |         13 |      4,421 |         23 |         17 |      4,461 |
| DataAccess\obj (Files)                                                                                                                                  |          5 |      4,361 |          0 |          1 |      4,362 |
| DataAccess\obj\Debug                                                                                                                                    |          4 |         30 |         11 |          8 |         49 |
| DataAccess\obj\Debug\net7.0                                                                                                                             |          4 |         30 |         11 |          8 |         49 |
| DataAccess\obj\Release                                                                                                                                  |          4 |         30 |         12 |          8 |         50 |
| DataAccess\obj\Release\net7.0                                                                                                                           |          4 |         30 |         12 |          8 |         50 |
| Entities                                                                                                                                                |         28 |      5,583 |         21 |        121 |      5,725 |
| Entities (Files)                                                                                                                                        |          1 |          8 |          0 |          4 |         12 |
| Entities\Concrete                                                                                                                                       |         13 |        149 |          0 |         78 |        227 |
| Entities\DTO´s                                                                                                                                          |          3 |         56 |          0 |         25 |         81 |
| Entities\bin                                                                                                                                            |          1 |      1,308 |          0 |          0 |      1,308 |
| Entities\bin\Debug                                                                                                                                      |          1 |      1,308 |          0 |          0 |      1,308 |
